Sample,Accuracy,Params
S1,0.9877022653721683,"{'C': np.float64(1.1286335869343822), 'gamma': np.float64(0.010237388946089821), 'kernel': 'linear'}"
S2,0.9841423948220065,"{'C': np.float64(6.558941130666561), 'gamma': np.float64(0.04475872112626925), 'kernel': 'poly'}"
S3,0.9864077669902913,"{'C': np.float64(2.2874937373677184), 'gamma': np.float64(0.057957353457473805), 'kernel': 'linear'}"
S4,0.9864077669902913,"{'C': np.float64(6.558941130666561), 'gamma': np.float64(0.04475872112626925), 'kernel': 'poly'}"
S5,0.9870550161812298,"{'C': np.float64(6.558941130666561), 'gamma': np.float64(0.04475872112626925), 'kernel': 'poly'}"
S6,0.983495145631068,"{'C': np.float64(2.2874937373677184), 'gamma': np.float64(0.057957353457473805), 'kernel': 'linear'}"
S7,0.9870550161812298,"{'C': np.float64(6.558941130666561), 'gamma': np.float64(0.04475872112626925), 'kernel': 'poly'}"
S8,0.9867313915857605,"{'C': np.float64(1.2620190961239441), 'gamma': np.float64(0.07770237035587269), 'kernel': 'linear'}"
S9,0.9841423948220065,"{'C': np.float64(1.6896958364551973), 'gamma': np.float64(0.012037514116430514), 'kernel': 'linear'}"
S10,0.986084142394822,"{'C': np.float64(1.6896958364551973), 'gamma': np.float64(0.012037514116430514), 'kernel': 'linear'}"
